07544.002,"
Provide structural design services for the repair of deterioated concrete in the executive parking garage."
05115.002, 
06054.035," 
10/15/19 - CHANGE PROJECT MANAGER FROM KARL PERSON TO MARK HIGGINS PER DAN KERNS. 
6/4/18 - PER ANGELA FROST, FAREL STEINBERG NO LONG WORKS AT THE ST. CLOUD VA HOSPITAL.  CORY EGGERT IS TAKING HIS PLACE."
07468.001," 
CMT"
07941.001," 
in Honey Creek, IA"
06519.001," 
This is a 384 lot residential subdivision located in the NW corner of Greenview and Franklin in Council Bluffs IA.
Iron Mountain Box #755812887"
06020.001, 12/6/16 - Made inactive per Loras Klostermann.
06313.003," 4/1/20 - Per Karen Majerus (NDOT) - New information 
Control No. 12578D 
Project No. PDU-LIN-2-6(120)
NDOT has selected Schemmer to provide 2 inspectors as embedded employees.  They will provide erosion control inspections, earthwork testing and inspection, and other activities as needed."
07086.003, Staking
07585.001,"• On-Site laser scan of concrete pits, footings, columns. • Provide deliverable of point cloud & photogrammetry • Provide as-constructed model of area indicated"
07958.001,"1,200 SF Tenant Improvement for a nail salon. Interior work only. MEP will be supplied by the GC through Design Build. Schemmer provideds code review sheets for permit including code plan, floor plan, ceiling plan, and schedules.  HOURLY NOT TO EXCEED."
07537.001,1.  Locate and verify existing control points for this projects as set by others.  2. Set additional control points as needed.  3. Stake permanent and temporary right-of-way stakes.  4. Stake the centerline of proposed waterline.
07670.001,"1. Elevation Certificate.  2. Topographic survey, Addn Services."
07001.002,"1/24/20 - Changed project manager from Mark Higgins to Pat Birch. 
Renovationwork of 4,000 sf existing bar/music venue, including building 'link', patio & roof deck additions, and renovation of restrooms and office space."
06686.006,"1/26/17- Per Jon Goldie's email, Loras is handling this one. 
CMT and Special Inspections for Building Addition."
07486.002,"1/27/20 - Pat Birch is now the project manager. 
10/15/19 - Change project manager from Karl Person to Pat Birch per Dan Kerns. 
Approximately 2,100 square feet of renovation on the 3rd floor and approximately 7,000 SF of renovation of the Clarkson College Main Building at 101 South 42nd Street. The space will be renovated to new offices, class rooms, student study space at an anticipated cost of $1.8 million dollars.."
06825.001,"1/3/17 - Change pm from Jon Firkins to Loras Klostermann. 
Construction materials testing for panel replacements & for brick street restoration.  Various locations."
07409.001,"1/4/19 - Changed the client from Concrete Supply to Ready Mix Properties per Corey Price. 
Provide architecture and engineering services for the plant equipment foundation design.  Building design will be under a separate agreement."
07318.001,"1/7/2019:  Made active per Jason Teel phone call.
12/7/18 - Made inactive per Jason Teel. 
SWPPP"
07066.005,"1/8/19 - Billing side had Project Advocates as client.  Had to change it to Children's Square. 
CMT/Special Inspections"
07456.001,"10/1/19 - Made inactive per Mark Higgins. 
2/20/19 - Changed project manager from Shane Larsen to Mark Higgins, per MH. 
Cross Fee to Engineering:  $4,900.00. 
Assist the State of Nebraska with preparion of an initial application to the Federal Department of Veterans' Affairs State Home Construction Grants Program for the proposed 30 Bed Addition to the Eastern Nebraska Veterans' Home (ENVH), as well as similar services to prepare a State of Nebraska Facilities Program Statement for semi-private bedrooms as compared to private bedrooms for the Grant Application."
07607.001,"10/15/19 - Change project manager from Karl Person to Jeff Kulhanek per Dan Kerns. 
Design Pharmacy renovation, within the existing footprint of the facility, to meet requirements set out in USP Chapters 797 and 800 for compliance. It is imperative that the existing compounding pharmacy area remain in service, therefore, the construction of the project will have to be performed and sequenced in a manner that allows operations to continue. Approximately 2,500 square feet of existing space will have to be renovated in order to ensure operations do not cease."
